rank,glyph_a,ipa_a,glyph_b,ipa_b,jaccard_similarity,risk
1,G22,/t/,G27,/ʃ/,0.6537,MEDIUM
2,G02,/e/,G07,/h/,0.6537,MEDIUM
3,G21,/p/,G27,/ʃ/,0.6326,MEDIUM
4,G01,/a/,G07,/h/,0.6326,MEDIUM
5,G32,/z/,G37,/sˤ/,0.6305,MEDIUM
6,G12,/n/,G17,/w/,0.6305,MEDIUM
7,G21,/p/,G22,/t/,0.6252,MEDIUM
8,G01,/a/,G02,/e/,0.6252,MEDIUM
9,G31,/v/,G37,/sˤ/,0.6061,MEDIUM
10,G11,/m/,G17,/w/,0.6061,MEDIUM
11,G25,/f/,G30,/ts/,0.6046,MEDIUM
12,G05,/u/,G10,/ħ/,0.6046,MEDIUM
13,G31,/v/,G32,/z/,0.5982,MEDIUM
14,G11,/m/,G12,/n/,0.5982,MEDIUM
15,G21,/p/,G30,/ts/,0.5864,MEDIUM
16,G01,/a/,G10,/ħ/,0.5864,MEDIUM
17,G22,/t/,G30,/ts/,0.5797,LOW
18,G02,/e/,G10,/ħ/,0.5797,LOW
19,G35,/tʃ/,G40,/y/,0.5766,LOW
20,G15,/r/,G20,/g/,0.5766,LOW
21,G29,/θ/,G30,/ts/,0.5707,LOW
22,G09,/ʕ/,G10,/ħ/,0.5707,LOW
23,G31,/v/,G40,/y/,0.5559,LOW
24,G11,/m/,G20,/g/,0.5559,LOW
25,G27,/ʃ/,G30,/ts/,0.5516,LOW
26,G07,/h/,G10,/ħ/,0.5516,LOW
27,G32,/z/,G40,/y/,0.5515,LOW
28,G12,/n/,G20,/g/,0.5515,LOW
29,G25,/f/,G27,/ʃ/,0.5405,LOW
30,G05,/u/,G07,/h/,0.5405,LOW
