AK_ID,REGION_ID,UNIT_TYPE,LOCAL_INDEX,PARENT_ID,POSITION_ID,CHOIR_ID,SECTOR12_ID,ANGLE_START_DEG,ANGLE_END_DEG,ATOMIC_STATUS,COLOR_ID,SYMBOL_ID,SOURCE_ID
AK-0001,OUTER-ANNULUS,HEADER_AK,1,CHOIR-01,,CHOIR-01,,0,40,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0002,OUTER-ANNULUS,HEADER_AK,2,CHOIR-02,,CHOIR-02,,40,80,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0003,OUTER-ANNULUS,HEADER_AK,3,CHOIR-03,,CHOIR-03,,80,120,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0004,OUTER-ANNULUS,HEADER_AK,4,CHOIR-04,,CHOIR-04,,120,160,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0005,OUTER-ANNULUS,HEADER_AK,5,CHOIR-05,,CHOIR-05,,160,200,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0006,OUTER-ANNULUS,HEADER_AK,6,CHOIR-06,,CHOIR-06,,200,240,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0007,OUTER-ANNULUS,HEADER_AK,7,CHOIR-07,,CHOIR-07,,240,280,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0008,OUTER-ANNULUS,HEADER_AK,8,CHOIR-08,,CHOIR-08,,280,320,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0009,OUTER-ANNULUS,HEADER_AK,9,CHOIR-09,,CHOIR-09,,320,360,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0010,OUTER-ANNULUS,RADIAL_BAND_1,1,POSITION-01,POSITION-01,CHOIR-01,SECTOR12-01,0,5,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0011,OUTER-ANNULUS,RADIAL_BAND_1,2,POSITION-02,POSITION-02,CHOIR-01,SECTOR12-01,5,10,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0012,OUTER-ANNULUS,RADIAL_BAND_1,3,POSITION-03,POSITION-03,CHOIR-01,SECTOR12-01,10,15,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0013,OUTER-ANNULUS,RADIAL_BAND_1,4,POSITION-04,POSITION-04,CHOIR-01,SECTOR12-01,15,20,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0014,OUTER-ANNULUS,RADIAL_BAND_1,5,POSITION-05,POSITION-05,CHOIR-01,SECTOR12-01,20,25,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0015,OUTER-ANNULUS,RADIAL_BAND_1,6,POSITION-06,POSITION-06,CHOIR-01,SECTOR12-01,25,30,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0016,OUTER-ANNULUS,RADIAL_BAND_1,7,POSITION-07,POSITION-07,CHOIR-01,SECTOR12-02,30,35,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0017,OUTER-ANNULUS,RADIAL_BAND_1,8,POSITION-08,POSITION-08,CHOIR-01,SECTOR12-02,35,40,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0018,OUTER-ANNULUS,RADIAL_BAND_1,9,POSITION-09,POSITION-09,CHOIR-02,SECTOR12-02,40,45,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0019,OUTER-ANNULUS,RADIAL_BAND_1,10,POSITION-10,POSITION-10,CHOIR-02,SECTOR12-02,45,50,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0020,OUTER-ANNULUS,RADIAL_BAND_1,11,POSITION-11,POSITION-11,CHOIR-02,SECTOR12-02,50,55,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0021,OUTER-ANNULUS,RADIAL_BAND_1,12,POSITION-12,POSITION-12,CHOIR-02,SECTOR12-02,55,60,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0022,OUTER-ANNULUS,RADIAL_BAND_1,13,POSITION-13,POSITION-13,CHOIR-02,SECTOR12-03,60,65,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0023,OUTER-ANNULUS,RADIAL_BAND_1,14,POSITION-14,POSITION-14,CHOIR-02,SECTOR12-03,65,70,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0024,OUTER-ANNULUS,RADIAL_BAND_1,15,POSITION-15,POSITION-15,CHOIR-02,SECTOR12-03,70,75,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0025,OUTER-ANNULUS,RADIAL_BAND_1,16,POSITION-16,POSITION-16,CHOIR-02,SECTOR12-03,75,80,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0026,OUTER-ANNULUS,RADIAL_BAND_1,17,POSITION-17,POSITION-17,CHOIR-03,SECTOR12-03,80,85,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0027,OUTER-ANNULUS,RADIAL_BAND_1,18,POSITION-18,POSITION-18,CHOIR-03,SECTOR12-03,85,90,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0028,OUTER-ANNULUS,RADIAL_BAND_1,19,POSITION-19,POSITION-19,CHOIR-03,SECTOR12-04,90,95,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0029,OUTER-ANNULUS,RADIAL_BAND_1,20,POSITION-20,POSITION-20,CHOIR-03,SECTOR12-04,95,100,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0030,OUTER-ANNULUS,RADIAL_BAND_1,21,POSITION-21,POSITION-21,CHOIR-03,SECTOR12-04,100,105,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0031,OUTER-ANNULUS,RADIAL_BAND_1,22,POSITION-22,POSITION-22,CHOIR-03,SECTOR12-04,105,110,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0032,OUTER-ANNULUS,RADIAL_BAND_1,23,POSITION-23,POSITION-23,CHOIR-03,SECTOR12-04,110,115,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0033,OUTER-ANNULUS,RADIAL_BAND_1,24,POSITION-24,POSITION-24,CHOIR-03,SECTOR12-04,115,120,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0034,OUTER-ANNULUS,RADIAL_BAND_1,25,POSITION-25,POSITION-25,CHOIR-04,SECTOR12-05,120,125,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0035,OUTER-ANNULUS,RADIAL_BAND_1,26,POSITION-26,POSITION-26,CHOIR-04,SECTOR12-05,125,130,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0036,OUTER-ANNULUS,RADIAL_BAND_1,27,POSITION-27,POSITION-27,CHOIR-04,SECTOR12-05,130,135,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0037,OUTER-ANNULUS,RADIAL_BAND_1,28,POSITION-28,POSITION-28,CHOIR-04,SECTOR12-05,135,140,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0038,OUTER-ANNULUS,RADIAL_BAND_1,29,POSITION-29,POSITION-29,CHOIR-04,SECTOR12-05,140,145,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0039,OUTER-ANNULUS,RADIAL_BAND_1,30,POSITION-30,POSITION-30,CHOIR-04,SECTOR12-05,145,150,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0040,OUTER-ANNULUS,RADIAL_BAND_1,31,POSITION-31,POSITION-31,CHOIR-04,SECTOR12-06,150,155,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0041,OUTER-ANNULUS,RADIAL_BAND_1,32,POSITION-32,POSITION-32,CHOIR-04,SECTOR12-06,155,160,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0042,OUTER-ANNULUS,RADIAL_BAND_1,33,POSITION-33,POSITION-33,CHOIR-05,SECTOR12-06,160,165,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0043,OUTER-ANNULUS,RADIAL_BAND_1,34,POSITION-34,POSITION-34,CHOIR-05,SECTOR12-06,165,170,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0044,OUTER-ANNULUS,RADIAL_BAND_1,35,POSITION-35,POSITION-35,CHOIR-05,SECTOR12-06,170,175,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0045,OUTER-ANNULUS,RADIAL_BAND_1,36,POSITION-36,POSITION-36,CHOIR-05,SECTOR12-06,175,180,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
AK-0046,OUTER-ANNULUS,RADIAL_BAND_1,37,POSITION-37,POSITION-37,CHOIR-05,SECTOR12-07,180,185,CONFIRMED,UNRESOLVED,UNRESOLVED,CC-SOURCE-01
